# id	left	top	right	bottom	texture_id
[SPRITES]
# coin
41000	273	304	286	319	21
42000	291	304	300	319	21
43000	309	304	314	319	21

# cloud
51000	80	208	95	223	21
52000	96	208	111	223	21
53000	112	208	127	223	21
54000	80	224	95	239	21
55000	96	224	111	239	21
56000	112	224	127	239	21

# sky 
60000	32	48	48	64	21
# flower
61000	80	240	95	255	21
# star
62000	96	240	111	255	21
# gear
63000	112	240	127	255	21

# wood
70000	304	160	319	175	21

# orange color box
81000	0	48	15	63	21
82000	16	48	31	63	21
83000	32	48	47	63	21
84000	0	64	15	79	21
85000	16	64	31	79	21
86000	32	64	47	79	21
87000	0	80	15	95	21
88000	16	80	31	95	21
89000	32	80	47	95	21

# blue color box
91000	48	48	63	63	21
92000	64	48	79	63	21
93000	80	48	95	63	21
94000	48	64	63	79	21
95000	64	64	79	79	21
96000	80	64	95	79	21
97000	48	80	63	95	21
98000	64	80	79	95	21
99000	80	80	95	95	21

# white color box
101000	0	0	15	15	21
102000	16	0	31	15	21
103000	32	0	47	15	21
104000	0	16	15	31	21
105000	16	16	31	31	21
106000	32	16	47	31	21
107000	0	32	15	47	21
108000	16	32	31	47	21
109000	32	32	47	47	21

# green color box
111000	48	0	63	15	21
112000	64	0	79	15	21
113000	80	0	95	15	21
114000	48	16	63	31	21
115000	64	16	79	31	21
116000	80	16	95	31	21
117000	48	32	63	47	21
118000	64	32	79	47	21
119000	80	32	95	47	21

# shader
121000	96	64	111	79	21
122000	96	80	111	95	21
123000	96	96	111	111	21
124000	80	96	95	111	21
125000	64	96	79	111	21

# invisible
130000	352	272	368	288	21

# black line
161000	176	368	191	383	21
162000	192	368	207	383	21
163000	208	368	223	383	21
164000	176	384	191	399	21
165000	192	384	207	399	21
166000	208	384	223	399	21
167000	176	400	191	415	21
168000	192	400	207	415	21
169000	208	400	223	415	21

# black curve
171000	96	0	111	15	21
172000	112	0	127	15	21
173000	96	16	111	31	21
174000	112	16	127	31	21

# green curve
181000	129	0	143	15	21
182000	144	0	158	15	21
183000	144	32	159	47	21
184000	128	32	143	47	21
185000	128	16	143	31	21
186000	144	16	159	31	21
187000	128	48	143	63	21

# tree
191000	208	192	223	207	21

# ground
201000	400	256	415	271	21
202000	416	256	431	271	21
203000	432	256	447	271	21
204000	400	272	415	287	21
205000	416	272	431	287	21
206000	432	272	447	287	21

# brick
211000	256	144	271	159	21

# ground brick 
221000	144	0	160	16	21

# sky black
231000	32	240	47	255	21

# cloud face
241000	208	176	223	191	21

# green pine
251000	304	48	319	63	21
252000	320	48	335	63	21
253000	304	64	319	79	21
254000	320	64	335	79	21

# black pine
261000	192	16	208	32	21
262000	208	16	224	32	21
263000	192	32	208	48	21
264000	208	32	224	48	21

# item coin
271000	303	99	312	114	20
272000	322	99	329	114	20
273000	341	99	346	114	20


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# coin
40000	41000	150	42000	150	43000	150	42000	150

# item coin
270000	271000	150	272000	150	273000	150	272000	150
